 ,Label,Area,Mean,IntDen,RawIntDen
1,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:background:1,26.202,26.757,701.091,54423.000
2,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-0494-0388:3,250.470,233.763,58550.548,4545056.000
3,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-0480-1039:3,434.570,156.431,67980.200,5277044.000
4,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-0234-1253:3,428.902,141.334,60618.329,4705570.000
5,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-0269-1572:3,300.105,133.698,40123.532,3114637.000
6,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-0417-1785:3,186.045,251.273,46748.204,3628885.000
7,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-0620-1549:3,330.468,163.826,54139.266,4202625.000
8,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-0534-2440:3,236.698,89.333,21144.874,1641396.000
9,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-0753-0815:3,415.504,210.494,87461.189,6789279.000
10,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-0726-1141:3,432.818,226.753,98142.584,7618435.000
11,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1046-1030:3,394.132,254.261,100212.414,7779108.000
12,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1177-0999:3,420.103,211.176,88715.611,6886655.000
13,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1022-1323:3,487.361,225.806,110049.313,8542709.000
14,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-0899-1109:3,307.525,241.445,74250.416,5763777.000
15,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1192-0416:3,282.817,263.753,74593.857,5790437.000
16,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1530-0223:3,295.158,223.235,65889.630,5114761.000
17,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1577-0279:3,124.224,366.608,45541.330,3535200.000
18,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1578-0325:3,211.642,372.844,78909.552,6125448.000
19,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1400-0436:3,266.843,215.606,57532.863,4466057.000
20,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1311-0619:3,328.742,298.055,97983.141,7606058.000
21,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1776-0180:3,318.913,222.683,71016.418,5512734.000
22,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1050-2460:3,234.573,115.034,26983.934,2094660.000
23,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1354-2305:3,611.727,97.955,59921.915,4651510.000
24,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1664-2019:3,322.404,183.616,59198.589,4595361.000
25,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1719-2147:3,374.397,160.649,60146.298,4668928.000
26,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1387-2069:3,242.933,180.371,43818.226,3401442.000
27,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1281-1764:3,364.645,202.626,73886.531,5735530.000
28,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1975-0950:3,494.253,215.377,106451.030,8263388.000
29,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1623-1097:3,277.071,232.981,64552.439,5010960.000
30,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1656-0854:3,651.468,310.612,202353.984,15707969.000
31,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1085-1558:3,401.385,186.935,75032.897,5824518.000
32,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1133-1663:3,238.309,214.809,51190.828,3973749.000
33,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0003-1396-1156:3,346.043,223.794,77442.380,6011557.000
34,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1309-1018:2,708.781,194.924,138158.486,10724717.000
35,MAX_20210719_BODIPYCerTR_2ugml_Tf633;CerTR;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1931-1942:2,317.844,71.861,22840.422,1773015.000
