 ,Label,Area,Mean,IntDen,RawIntDen
1,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:background:1,36.946,30.929,1142.707,88704.000
2,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1849-2003:2,429.121,269.902,115820.381,8990695.000
3,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1659-2172:2,376.329,248.349,93460.827,7255008.000
4,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1635-2017:2,268.260,319.486,85705.390,6652983.000
5,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1472-2130:2,215.700,253.048,54582.609,4237040.000
6,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1474-2296:2,337.296,267.305,90160.910,6998848.000
7,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1145-2073:2,431.208,202.219,87198.198,6768864.000
8,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1266-2065:2,335.480,225.796,75750.026,5880186.000
9,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1311-1879:2,376.999,272.861,102868.373,7985280.000
10,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0001-1410-2011:1,272.150,88.587,24108.951,1871486.000
11,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0001-1424-1779:1,158.349,61.541,9744.868,756457.000
12,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0001-1497-1660:1,374.332,85.799,32117.510,2493160.000
13,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0001-1315-1660:1,343.673,73.399,25225.223,1958138.000
14,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0001-1283-1535:1,324.053,145.651,47198.709,3663856.000
15,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0001-1128-1731:1,421.224,93.553,39406.777,3058998.000
16,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1612-1315:2,418.171,242.619,101456.298,7875666.000
17,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1221-0725:2,327.106,323.144,105702.443,8205278.000
18,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1250-1079:2,366.281,229.250,83969.958,6518268.000
19,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1170-0467:2,380.748,216.413,82398.813,6396306.000
20,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1005-0500:2,377.566,255.913,96624.012,7500554.000
21,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1182-1405:2,383.801,240.061,92135.630,7152138.000
22,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1121-1250:2,257.130,244.304,62817.780,4876305.000
23,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0955-1218:2,306.598,230.653,70717.665,5489543.000
24,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1208-0860:2,682.746,245.454,167583.026,13008832.000
25,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-1048-1487:2,455.568,241.782,110148.287,8550392.000
26,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0998-1635:2,258.482,262.702,67903.795,5271113.000
27,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0763-1869:2,508.540,273.815,139245.838,10809124.000
28,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0759-1684:2,323.344,265.991,86006.706,6676373.000
29,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0628-1658:2,510.356,201.191,102679.133,7970590.000
30,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0785-1128:2,280.408,242.985,68134.864,5289050.000
31,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0572-1198:2,252.814,227.828,57598.163,4471126.000
32,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0848-0745:2,496.289,197.683,98108.060,7615755.000
33,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0623-0752:2,250.985,251.871,63215.790,4907201.000
34,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0413-1338:2,374.745,199.243,74665.135,5795970.000
35,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0574-1364:2,194.896,282.611,55079.670,4275625.000
36,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0420-0844:2,180.455,235.237,42449.603,3295201.000
37,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0648-1071:2,219.629,211.404,46430.476,3604221.000
38,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0745-1012:2,255.391,327.921,83748.010,6501039.000
39,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0479-1041:2,144.178,316.867,45685.225,3546370.000
40,MAX_20210719_Dynasore_10uM_Tf633;Rab5;DAPI_Exp1_FOV1_Stack.czi:0002-0556-0956:2,317.290,302.210,95888.229,7443438.000
