 ,Label,Area,Mean,X,Y,Circ.,IntDen,RawIntDen,AR,Round,Solidity
683,NeuralCrestChannel:0455-0330,59.460,364.807,272.129,374.440,0.885,21691.483,32103,1.244,0.804,0.994
684,NeuralCrestChannel:0514-0355,20.946,556.903,291.929,422.839,0.821,11665.009,17264,1.371,0.729,0.969
685,NeuralCrestChannel:0546-0524,32.433,1042.604,431.053,448.726,0.818,33814.606,50045,1.242,0.805,1.000
686,NeuralCrestChannel:0582-0336,43.244,437.625,276.796,478.751,0.845,18924.557,28008,1.331,0.752,0.914
687,NeuralCrestChannel:0486-0426,60.812,1157.800,350.811,399.885,0.927,70407.624,104202,1.311,0.763,0.957
688,NeuralCrestChannel:0536-0867,54.055,1618.963,713.034,440.489,0.790,87512.565,129517,1.705,0.586,0.925
689,NeuralCrestChannel:0502-0892,34.460,453.941,733.393,412.475,0.907,15642.760,23151,1.089,0.918,0.936
690,NeuralCrestChannel:0538-0815,29.730,967.795,670.154,443.021,0.870,28772.652,42583,1.090,0.918,0.967
691,NeuralCrestChannel:0297-0420,13.514,938.550,345.076,244.504,0.739,12683.264,18771,1.237,0.808,0.870
692,NeuralCrestChannel:0535-0610,46.622,934.739,501.760,439.442,0.922,43579.591,64497,1.027,0.974,1.038
693,NeuralCrestChannel:0254-0542,13.514,584.350,445.565,209.117,0.807,7896.719,11687,1.142,0.876,0.952
694,NeuralCrestChannel:0228-0834,32.433,427.250,685.685,187.228,0.851,13856.927,20508,1.234,0.810,0.970
695,NeuralCrestChannel:0560-0594,32.433,746.646,488.559,460.440,0.806,24215.839,35839,1.052,0.951,0.881
696,NeuralCrestChannel:0602-0707,23.649,363.657,581.260,495.278,0.787,8600.106,12728,1.278,0.782,0.909
697,NeuralCrestChannel:0342-0956,30.406,439.044,785.549,281.188,0.875,13349.489,19757,1.065,0.939,0.947
698,NeuralCrestChannel:0293-0793,47.298,706.986,652.198,241.128,0.938,33438.925,49489,1.084,0.922,1.014
699,NeuralCrestChannel:0500-0780,45.947,710.824,641.353,410.807,0.830,32659.862,48336,1.155,0.866,0.971
700,NeuralCrestChannel:0584-0544,29.054,461.953,447.445,480.000,0.833,13421.787,19864,1.100,0.909,0.989
701,NeuralCrestChannel:0570-0761,34.460,651.667,626.146,469.515,0.822,22456.358,33235,1.095,0.913,0.944
702,NeuralCrestChannel:0573-0736,28.379,484.548,604.483,471.123,0.939,13750.845,20351,1.086,0.921,0.988
703,NeuralCrestChannel:0523-0263,37.163,347.527,216.986,430.033,0.893,12915.024,19114,1.329,0.752,0.957
704,NeuralCrestChannel:0536-0337,51.352,368.671,277.230,440.808,0.906,18931.990,28019,1.177,0.849,0.968
705,NeuralCrestChannel:0560-0632,20.271,673.367,519.531,460.375,0.775,13649.492,20201,1.144,0.874,0.896
706,NeuralCrestChannel:0492-0425,41.892,848.532,349.469,404.451,0.876,35547.060,52609,1.303,0.768,0.954
707,NeuralCrestChannel:0522-0374,30.406,414.111,307.437,428.965,0.867,12591.371,18635,1.105,0.905,0.928
708,NeuralCrestChannel:0526-0970,47.298,473.314,797.786,433.100,0.897,22386.762,33132,1.104,0.906,1.000
709,NeuralCrestChannel:0533-0934,41.217,1476.131,768.011,437.998,0.855,60841.290,90044,1.178,0.849,0.968
710,NeuralCrestChannel:0598-0730,43.919,274.046,600.800,491.208,0.875,12035.959,17813,1.297,0.771,0.977
711,NeuralCrestChannel:0594-0598,101.353,260.100,491.392,488.849,0.865,26361.811,39015,1.373,0.728,1.010
712,NeuralCrestChannel:0226-0442,13.514,779.050,363.982,185.978,0.874,10527.832,15581,1.113,0.898,0.930
