 ,Label,Area,Mean,X,Y,Circ.,IntDen,RawIntDen,AR,Round,Solidity
385,NeuralCrestChannel:0628-0310,46.622,550.725,255.136,516.520,0.921,25675.992,38000.000,1.142,0.876,0.986
386,NeuralCrestChannel:0637-0887,47.974,1747.873,728.888,524.199,0.943,83851.709,124099.000,1.057,0.946,0.959
387,NeuralCrestChannel:0801-0405,37.163,1640.309,332.514,658.205,0.852,60958.183,90217.000,1.171,0.854,0.932
388,NeuralCrestChannel:0574-1126,52.028,947.234,925.823,471.759,0.870,49282.364,72937.000,1.347,0.742,0.951
389,NeuralCrestChannel:0634-0727,52.028,898.169,597.685,521.281,0.859,46729.630,69159.000,1.146,0.873,0.957
390,NeuralCrestChannel:0728-0662,50.676,965.120,544.202,598.685,0.882,48908.711,72384.000,1.407,0.711,1.000
391,NeuralCrestChannel:0856-1039,47.974,861.394,854.180,703.487,0.940,41324.158,61159.000,1.252,0.799,0.979
392,NeuralCrestChannel:0688-0803,68.244,554.089,660.396,565.158,0.821,37813.304,55963.000,1.593,0.628,0.935
393,NeuralCrestChannel:0677-0687,59.460,999.864,565.228,556.905,0.904,59452.084,87988.000,1.098,0.911,0.967
394,NeuralCrestChannel:0853-0875,54.055,796.375,719.312,701.166,0.843,43047.828,63710.000,1.563,0.640,0.958
395,NeuralCrestChannel:0894-0903,42.568,610.222,741.933,735.109,0.850,25975.996,38444.000,1.118,0.895,1.000
396,NeuralCrestChannel:0634-0585,58.109,1103.035,480.946,521.721,0.831,64096.060,94861.000,1.494,0.669,0.950
397,NeuralCrestChannel:0764-0386,55.406,906.537,317.252,628.339,0.944,50227.646,74336.000,1.246,0.802,0.948
398,NeuralCrestChannel:0756-0750,44.595,613.182,616.450,621.619,0.907,27344.931,40470.000,1.214,0.823,0.992
399,NeuralCrestChannel:0878-0566,48.649,1197.403,465.983,721.933,0.961,58252.745,86213.000,1.408,0.710,1.000
400,NeuralCrestChannel:0725-1076,50.676,955.987,884.675,596.745,0.915,48445.867,71699.000,1.144,0.874,0.993
401,NeuralCrestChannel:0671-0925,62.163,486.185,760.564,551.642,0.776,30222.670,44729.000,1.832,0.546,0.963
402,NeuralCrestChannel:0894-0960,56.757,472.560,789.326,735.367,0.860,26821.276,39695.000,1.238,0.808,0.971
403,NeuralCrestChannel:0592-0975,43.919,922.892,801.191,486.251,0.891,40532.932,59988.000,1.115,0.897,0.956
404,NeuralCrestChannel:0892-0774,39.865,740.424,636.750,733.120,0.798,29517.256,43685.000,1.345,0.743,0.922
405,NeuralCrestChannel:0570-1152,58.109,1639.756,946.973,468.980,0.881,95284.282,141019.000,1.447,0.691,0.966
406,NeuralCrestChannel:0773-0425,43.244,1514.672,349.671,635.586,0.847,65500.131,96939.000,1.383,0.723,1.016
407,NeuralCrestChannel:0596-1094,68.920,1130.765,899.816,490.589,0.911,77932.041,115338.000,1.203,0.831,0.981
408,NeuralCrestChannel:0718-1170,47.298,1488.214,962.421,590.466,0.907,70389.381,104175.000,1.217,0.822,0.986
409,NeuralCrestChannel:0682-0425,42.568,970.825,349.539,561.028,0.853,41326.185,61162.000,1.093,0.915,0.969
